Title,Price,Condition,Shipping,Return,No of Sold
Shop on eBayOpens in a new window or tab,$20.00,Brand New,No Shipping Specified,No Return Specified,0
Apple Watch Series 3 38mm 42mm GPS + WiFi + Cellular Pink Gold Space Gray SilverOpens in a new window or tab,$94.99 to $102.99,Pre-Owned,+$26.96 shipping estimate,No Return Specified,87+ sold
Apple Watch Series 5 40mm 44mm GPS + WiFi + Cellular Gold Gray Silver -Very GoodOpens in a new window or tab,$189.99 to $199.99,Very Good - Refurbished,+$29.43 shipping estimate,No Return Specified,eBay Refurbished
Apple AirPods 3rd Generation With Wireless Charging Case ‎MME73AM/AOpens in a new window or tab,$145.98,Open Box,+$28.16 shipping estimate,No Return Specified,355 sold
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade AOpens in a new window or tab,$275.09 to $300.10,Excellent - Refurbished,+$43.45 shipping estimate,No Return Specified,eBay Refurbished
Apple iPhone 11 Pro 64 - 256-Grade A +++ 12 months warranty perfect equal to the newOpens in a new window or tab,$452.25 to $504.84,Pre-Owned,+$7.35 shipping,Free returns,0
Apple MacBook Pro 13 | MacOS Big Sur 2020 | 16GB RAM | 1TB SSD | WARRANTY | Opens in a new window or tab,$574.99,Pre-Owned,+$99.99 shipping,No Return Specified,Apple MacBook Pro 13 | MacOS Big Sur 2020 | 16GB RAM | 1TB SSD | WARRANTY | 
New Genuine Apple Watch Solo Loop Band Strap 38/40/41/42/44/45mm OfficialOpens in a new window or tab,$30.62 to $74.96,Brand New,+$39.15 shipping estimate,No Return Specified,7+ sold
"Apple iPhone Box Empty Original iPhone 13, 13 Mini, 13 Pro, 13 Pro MaxOpens in a new window or tab",$11.12 to $17.87,Pre-Owned,+$37.78 shipping estimate,No Return Specified,0
Apple iPhone SE 1st Generation 16GB /32GB /64Gb /128GB Smartphone Unlocked #1B1 Opens in a new window or tab,$79.99 to $119.99,Pre-Owned,Shipping not specified,No Return Specified,Apple iPhone SE 1st Generation 16GB /32GB /64Gb /128GB Smartphone Unlocked #1B1 
