Review,ReviewDate,Ratings,ReviewerCompany,Person,SpentAmount,Link,ProjectTimeline
"""The team was really good at wireframing and figuring out how to deliver the best experience for the end customer.""","May 17, 2021",3.5,"                                                                                                            Founder and CEO, Professional Consultation App                                                                                                    ",No Person Found,Confidential,https://clutch.co/profile/naked,June - Sep. 2020
"""They were unable to deliver the project and meet their obligations.""","Sep 29, 2021",1.0,"                                                                                                            Head of Product, SaaS Company                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/steelkiwi,Jan. - Apr. 2019
"""It became a pattern: they constantly asked for more money and then did not provide the service they promised.""","Mar 5, 2020",0.5,"                                                                                                            Owner, Marketing Agency                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/sparxit,Sep. 2019 - Jan. 2020
"""They had zero absolutely no expertise in telemedicine.""","Dec 12, 2021",0.5,"                                                                                                            Director, Online Healthcare Service Provider                                                                                                    ",Dr. Nader Khandanpour,"Less than $10,000",https://clutch.co/profile/sparxit,Jan. 2021 - Ongoing
"""They started this function in June 2019, and couldn't finish by February 2020, so I decided to do it myself.""","Apr 17, 2020",1.0,"                                                                                                            CEO, Management Consulting Company                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/sparxit,Feb. 2019 - Mar. 2020
"""Read all the details in the contract very carefully.""","Oct 6, 2021",0.5,"                                                                                                            CEO, TapTop                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Dec. 2020 - June 2021
"""At times, they would ignore us for weeks. They constantly lie.""","Feb 21, 2022",0.5,"                                                                                                            Marketing & Innovation Consultant, The Wellness Way                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Apr. 2021 - Feb. 2022
"""Nothing was delivered.""","Jun 3, 2021",0.5,"                                                                                                            Founder, Healthcare Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Jan. 2020 - May 2021
"""The app was never understood by the developers as testing was always a nightmare.""","Sep 28, 2019",2.0,"                                                                                                            Co-Founder, Social App Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,June 2018 - Feb. 2019
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
"""They did not meet timelines and were not bothered by the delays.""","Apr 3, 2022",0.5,"                                                                                                            Product Head, Hospitality Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2021 - Feb. 2022
“I felt that we had a communication barrier somewhere.”,"Oct 4, 2021",3.0,"                                                                                                            CEO, Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Sep. - Dec. 2020
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
"""There was a huge breakdown in communication and follow-through.""","Jul 26, 2017",1.0,"                                                                                                            Co-Founder, O&J Holdings                                                                                                    ",Joseph Felix,"Less than $10,000",https://clutch.co/profile/ninehertz,Jan. 2014 - Ongoing
"""The missed deadlines damaged potential partnerships with various hotels, agencies, and other startups.""","Aug 27, 2018",0.5,"                                                                                                            Founder, Travel Media Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2017 - June 2018
"""They missed multiple milestones because they were not able to fully complete even the first milestone!""","Sep 27, 2020",0.5,"                                                                                                            Owner, Geolocation Tracking Platform                                                                                                    ",Sunil Wagle,"$10,000 to $49,999",https://clutch.co/profile/brainvire-infotech,Mar. - July 2020
"""Builds took a while, and every time I tested a build, it broke immediately.""","Aug 30, 2020",0.5,"                                                                                                            Owner, DKP Productions LLC                                                                                                    ",Kassi Pontious,"Less than $10,000",https://clutch.co/profile/brainvire-infotech,Apr. - July 2019
“Zco had a lot of problems keeping track of details.”,"May 20, 2021",3.0,"                                                                                                            Director, Educational Consultancy Company                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/zco,Jan. 2018 - June 2019
No Date Found,"Jan 8, 2014",1.0,"                                                                                                            CEO, The Lobster Guys, Seafood Cargo Container Firm                                                                                                    ",Samuel Wahnon,"$50,000 to $199,999",https://clutch.co/profile/zco,Jan. 2018 - June 2019
"""Customer service is very bad with this company.""","Feb 6, 2021",0.5,"                                                                                                            Owner, DB Appraisals                                                                                                    ",Darryl Bilobrowka,"$10,000 to $49,999",https://clutch.co/profile/freshworks-studio,Apr. - Oct. 2017
"“Some of their work was very good, but they left us in a difficult situation when the relationship ended.”","Jul 27, 2017",3.0,"                                                                                                            Co-Owner, Island Green Company                                                                                                    ",Paul Nault,"$200,000 to $999,999",https://clutch.co/profile/freshworks-studio,Apr. 2016 - Jan. 2018
"""At first, the staff was great, but the partnership quickly went downhill.""","May 1, 2019",0.5,"                                                                                                            Vice President, High Country Customs                                                                                                    ",Robin Smith,"$50,000 to $199,999",https://clutch.co/profile/freshworks-studio,May 2017 - Aug. 2018
“We both learned a lot from the experience.”,"Oct 29, 2018",3.5,"                                                                                                            CEO, YogiTunes                                                                                                    ",Alex King,"$50,000 to $199,999",https://clutch.co/profile/freshworks-studio,Dec. 2017 - Sep. 2018
"“Their responses were always quick, but they never actually met their promises.”","Aug 20, 2019",1.0,"                                                                                                            CEO, Religious Organization                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/appinventiv,May - Nov. 2017
"""The quality was so bad it wouldn’t make sense to use any of it. I lost two years of capital and had to start over."" ","Oct 23, 2018",1.5,"                                                                                                            Owner, Social Gaming App                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/appinventiv,June 2016 - Oct. 2018
“The delivery head’s lack of professionalism and blatant disrespect made my experience with AppInventiv extremely sour.”,"Mar 17, 2017",2.0,"                                                                                                            Founder, ROVO, Inc.                                                                                                    ",Kara Chung,"$10,000 to $49,999",https://clutch.co/profile/appinventiv,Apr. 2016 - Ongoing
