Review,ReviewDate,Ratings,ReviewerCompany,Person,SpentAmount,Link,ProjectTimeline
"""Read all the details in the contract very carefully.""","Oct 6, 2021",0.5,"                                                                                                            CEO, TapTop                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Dec. 2020 - June 2021
"""At times, they would ignore us for weeks. They constantly lie.""","Feb 21, 2022",0.5,"                                                                                                            Marketing & Innovation Consultant, The Wellness Way                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Apr. 2021 - Feb. 2022
"""Nothing was delivered.""","Jun 3, 2021",0.5,"                                                                                                            Founder, Healthcare Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Jan. 2020 - May 2021
"""The app was never understood by the developers as testing was always a nightmare.""","Sep 28, 2019",2.0,"                                                                                                            Co-Founder, Social App Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,June 2018 - Feb. 2019
"""They seem to have great ratings and reviews, but our experience was not good.""","Jan 25, 2021",3.0,"                                                                                                            Owner, The Ecosattva Store                                                                                                    ",No Person Found,"Less than $10,000",https://clutch.co/profile/emizen-tech,Mar. - July 2020
"""I've been quite satisfied with Confianz.""","Jul 5, 2016",3.0,"                                                                                                            IT Manager, Health Technology Company                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/confianz-global,Jan. 2014 - Ongoing
"""The team was really good at wireframing and figuring out how to deliver the best experience for the end customer.""","May 17, 2021",3.5,"                                                                                                            Founder and CEO, Professional Consultation App                                                                                                    ",No Person Found,Confidential,https://clutch.co/profile/naked,June - Sep. 2020
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
"""They did not meet timelines and were not bothered by the delays.""","Apr 3, 2022",0.5,"                                                                                                            Product Head, Hospitality Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2021 - Feb. 2022
“I felt that we had a communication barrier somewhere.”,"Oct 4, 2021",3.0,"                                                                                                            CEO, Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Sep. - Dec. 2020
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
"""There was a huge breakdown in communication and follow-through.""","Jul 26, 2017",1.0,"                                                                                                            Co-Founder, O&J Holdings                                                                                                    ",Joseph Felix,"Less than $10,000",https://clutch.co/profile/ninehertz,Jan. 2014 - Ongoing
"""The missed deadlines damaged potential partnerships with various hotels, agencies, and other startups.""","Aug 27, 2018",0.5,"                                                                                                            Founder, Travel Media Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2017 - June 2018
"“Their responses were always quick, but they never actually met their promises.”","Aug 20, 2019",1.0,"                                                                                                            CEO, Religious Organization                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/appinventiv,May - Nov. 2017
"""The quality was so bad it wouldn’t make sense to use any of it. I lost two years of capital and had to start over."" ","Oct 23, 2018",1.5,"                                                                                                            Owner, Social Gaming App                                                                                                    ",No Person Found,"$50,000 to $199,999",https://clutch.co/profile/appinventiv,June 2016 - Oct. 2018
“The delivery head’s lack of professionalism and blatant disrespect made my experience with AppInventiv extremely sour.”,"Mar 17, 2017",2.0,"                                                                                                            Founder, ROVO, Inc.                                                                                                    ",Kara Chung,"$10,000 to $49,999",https://clutch.co/profile/appinventiv,Apr. 2016 - Ongoing
"""They delivered under 40% of the project after one year when it was supposed to take only three months."" ","Feb 20, 2020",1.0,"                                                                                                            Founder, Expin                                                                                                    ",Feras Arafe,"$10,000 to $49,999",https://clutch.co/profile/appinventiv,Nov. 2018 - Nov. 2019
