Review,ReviewDate,Ratings,ReviewerCompany,Person,SpentAmount,Link,ProjectTimeline
"""The missed deadlines damaged potential partnerships with various hotels, agencies, and other startups.""","Aug 27, 2018",0.5,"                                                                                                            Founder, Travel Media Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2017 - June 2018
"""There was a huge breakdown in communication and follow-through.""","Jul 26, 2017",1.0,"                                                                                                            Co-Founder, O&J Holdings                                                                                                    ",Joseph Felix,"Less than $10,000",https://clutch.co/profile/ninehertz,Jan. 2014 - Ongoing
"""They did not meet timelines and were not bothered by the delays.""","Apr 3, 2022",0.5,"                                                                                                            Product Head, Hospitality Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Oct. 2021 - Feb. 2022
“I felt that we had a communication barrier somewhere.”,"Oct 4, 2021",3.0,"                                                                                                            CEO, Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Sep. - Dec. 2020
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
""" They should worry less about the money and more about providing quality work.""","Apr 16, 2022",0.5,"                                                                                                            E-Commerce Development Manager, AL-HUSSAINI TRADING CO.                                                                                                    ",fahad alhussaini,"$10,000 to $49,999",https://clutch.co/profile/ninehertz,Apr. 2019 - Ongoing
“What they’re doing is unethical and unprofessional.”,"Mar 30, 2021",0.5,"                                                                                                            CEO, Knew Memories                                                                                                    ",Kathleen Rall,"$10,000 to $49,999",https://clutch.co/profile/cubix,Sep. 2018 - Sep. 2020
"""Read all the details in the contract very carefully.""","Oct 6, 2021",0.5,"                                                                                                            CEO, TapTop                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Dec. 2020 - June 2021
"""The app was never understood by the developers as testing was always a nightmare.""","Sep 28, 2019",2.0,"                                                                                                            Co-Founder, Social App Startup                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,June 2018 - Feb. 2019
"""Nothing was delivered.""","Jun 3, 2021",0.5,"                                                                                                            Founder, Healthcare Company                                                                                                    ",No Person Found,"$10,000 to $49,999",https://clutch.co/profile/hyperlink-infosystem,Jan. 2020 - May 2021
