,Locations,Title,Price
0,Sialkot,OPPO FIND X5 PRO,"Rs 240,000"
1,"Malir, Karachi",Oppo Reno 6,"Rs 58,000"
2,Sialkot,OPPO FIND N - FOLDING PTA APPROVED,"Rs 350,000"
3,"Johar Town, Lahore",Oppo A57,"Rs 13,500"
4,Sialkot,OPPO A96 8GB/128GB ALL COLOR AVAILABLE HERE,"Rs 38,320"
5,"Sabzazar, Lahore",Oppo a57 3gb 32gb dual sim fresh stock,"Rs 8,499"
6,"EME Society, Lahore",f21 pr0 non active,"Rs 53,000"
7,Abbottabad,oppo A5 2020,"Rs 18,500"
8,Daska,OPPO F21 PRO 8GB/128GB WITH AIRBUDS,"Rs 49,800"
9,Sialkot,OPPO F21 PRO 8GB/128GB WITH( AIR BUDS ) ONLY TODAY OFFER,"Rs 49,800"
10,Sheikhüpura,Oppo Realme 6i 4/128 with Box PubG Best,"Rs 20,500"
11,"Garden Town, Lahore",Oppo F19 6 128gb prism black,"Rs 34,000"
12,Sialkot,Oppo F15,"Rs 26,000"
13,"Korang Town, Islamabad",OPPO A5,"Rs 21,999"
14,"Sabzazar, Lahore",Oppo Reno 6 New phone ha abhi,"Rs 44,500"
15,Multan,oppo reno 2f,"Rs 30,000"
16,Hyderabad,oppo A31,"Rs 30,000"
17,"Gulshan Colony, Lahore",Oppo reno 6,"Rs 50,000"
18,Sukkur,Reno 6,"Rs 55,000"
19,"Chungi Amar Sadhu, Lahore",oppo a52 ram 4 gp plus one gp rom 128,"Rs 17,500"
